Facility,Time,Commodity,Flow
m1,1,"('l1', 'k1')",7.4875591
m1,1,"('l1', 'k2')",6.6306678
m1,1,"('l1', 'k3')",12.836433
m1,1,"('l1', 'k4')",13.085234
m1,1,"('l1', 'k5')",9.9601066
m1,2,"('l1', 'k1')",10.440015
m1,2,"('l1', 'k2')",8.8527255
m1,2,"('l1', 'k3')",10.757099
m1,2,"('l1', 'k4')",6.4609069
m1,2,"('l1', 'k5')",11.86593
m2,1,"('l1', 'k1')",6.8091714
m2,1,"('l1', 'k2')",6.1815848
m2,1,"('l1', 'k3')",7.427344
m2,1,"('l1', 'k4')",5.0818342
m2,1,"('l1', 'k5')",8.600685
m2,2,"('l1', 'k1')",7.1359356
m2,2,"('l1', 'k2')",14.731557
m2,2,"('l1', 'k3')",13.583298
m2,2,"('l1', 'k4')",5.2046241
m2,2,"('l1', 'k5')",9.3445859
m3,1,"('l1', 'k1')",8.2980415
m3,1,"('l1', 'k2')",14.4239
m3,1,"('l1', 'k3')",6.5354563
m3,1,"('l1', 'k4')",13.962256
m3,1,"('l1', 'k5')",6.7803467
m3,2,"('l1', 'k1')",5.1090705
m3,2,"('l1', 'k2')",9.8027704
m3,2,"('l1', 'k3')",5.9681013
m3,2,"('l1', 'k4')",6.2807294
m3,2,"('l1', 'k5')",13.192242
m4,1,"('l1', 'k1')",10.248747
m4,1,"('l1', 'k2')",6.1794287
m4,1,"('l1', 'k3')",8.3180139
m4,1,"('l1', 'k4')",7.7241643
m4,1,"('l1', 'k5')",14.994786
m4,2,"('l1', 'k1')",11.132572
m4,2,"('l1', 'k2')",12.036922
m4,2,"('l1', 'k3')",12.126229
m4,2,"('l1', 'k4')",5.8858356
m4,2,"('l1', 'k5')",8.8184415
m5,1,"('l1', 'k1')",12.18084
m5,1,"('l1', 'k2')",9.8370248
m5,1,"('l1', 'k3')",9.4608805
m5,1,"('l1', 'k4')",12.613147
m5,1,"('l1', 'k5')",5.9081082
m5,2,"('l1', 'k1')",11.915383
m5,2,"('l1', 'k2')",10.539428
m5,2,"('l1', 'k3')",13.705216
m5,2,"('l1', 'k4')",8.1678019
m5,2,"('l1', 'k5')",5.6721709
m6,1,"('l1', 'k1')",5.277094
m6,1,"('l1', 'k2')",11.371465
m6,1,"('l1', 'k3')",19.110504
m6,1,"('l1', 'k4')",6.6563906
m6,1,"('l1', 'k5')",7.3385566
m6,2,"('l1', 'k1')",6.4896651
m6,2,"('l1', 'k2')",13.75354
m6,2,"('l1', 'k3')",5.3926859
m6,2,"('l1', 'k4')",6.1253882
m6,2,"('l1', 'k5')",7.9084538
m7,1,"('l1', 'k1')",9.1920283
m7,1,"('l1', 'k2')",10.678161
m7,1,"('l1', 'k3')",11.986277
m7,1,"('l1', 'k4')",5.3139636
m7,1,"('l1', 'k5')",5.0775962
m7,2,"('l1', 'k1')",7.6221859
m7,2,"('l1', 'k2')",5.8816219
m7,2,"('l1', 'k3')",11.294863
m7,2,"('l1', 'k4')",10.046355
m7,2,"('l1', 'k5')",10.223095
m8,1,"('l1', 'k1')",11.91748
m8,1,"('l1', 'k2')",7.1354274
m8,1,"('l1', 'k3')",7.8545203
m8,1,"('l1', 'k4')",13.476787
m8,1,"('l1', 'k5')",9.6157859
m8,2,"('l1', 'k1')",8.7104086
m8,2,"('l1', 'k2')",14.861278
m8,2,"('l1', 'k3')",7.7732364
m8,2,"('l1', 'k4')",8.2029712
m8,2,"('l1', 'k5')",10.452106
m9,1,"('l1', 'k1')",8.5819834
m9,1,"('l1', 'k2')",9.4582258
m9,1,"('l1', 'k3')",7.7845231
m9,1,"('l1', 'k4')",7.1042213
m9,1,"('l1', 'k5')",8.6510911
m9,2,"('l1', 'k1')",9.9375969
m9,2,"('l1', 'k2')",3.6463985
m9,2,"('l1', 'k3')",14.285057
m9,2,"('l1', 'k4')",11.502434
m9,2,"('l1', 'k5')",10.628514
m10,1,"('l1', 'k1')",6.7092751
m10,1,"('l1', 'k2')",9.9389575
m10,1,"('l1', 'k3')",12.114025
m10,1,"('l1', 'k4')",10.168132
m10,1,"('l1', 'k5')",7.2492836
m10,2,"('l1', 'k1')",8.8515249
m10,2,"('l1', 'k2')",10.299957
m10,2,"('l1', 'k3')",6.1340585
m10,2,"('l1', 'k4')",19.201689
m10,2,"('l1', 'k5')",5.5127702
